"tot_votes","paul_pct","County","per_capita_income","pop_dens","pop_2015","pct_bachelor_deg","pct_reg_repubs","pct_reg_males","pct_65_and_older","log_pop_2015","coal_2015_pct_chg","region","senate_dist","pct_non_white","outcome","fitted","resids"
7151,62.9842,"Hart",32465,44.7815,18454,8.8,0.3497,0.4793,36.4563,9.823,0,21099,"other",8.215,"w",63.9780654459805,-0.99386544598051
19541,54.5469,"Henderson",36766,106.2748,46407,16.4,0.2691,0.4648,14.4971,10.7452,-100,21101,"fourth",12.7524,"w",58.6131836932458,-4.06628369324583
7094,60.6146,"Henry",35170,54.562,15620,12.8,0.3554,0.4875,43.0707,9.6563,0,21103,"other",8.3547,"w",63.8636072993159,-3.24900729931587
2131,66.1192,"Hickman",37788,19.0366,4612,10.3,0.2832,0.4628,145.8727,8.4364,0,21105,"other",12.5325,"w",65.1123349612848,1.00686503871519
20082,67.8468,"Hopkins",36518,85.2804,46222,14.2,0.3258,0.4679,14.5551,10.7412,-22.09,21107,"other",11.183,"w",60.9861039746051,6.86069602539489
5233,81.4829,"Jackson",25214,38.679,13352,8.2,0.8259,0.4926,50.3868,9.4994,0,21109,"other",2.0222,"w",77.3897262960521,4.09317370394793
352216,41.0597,"Jefferson",46457,2007.3156,763623,30.4,0.3303,0.4608,0.881,13.5458,0,21111,"other",31.0879,"l",41.3446062535011,-0.284906253501138
23283,59.3609,"Jessamine",38243,301.8882,51961,27.4,0.4881,0.4681,12.9475,10.8582,0,21113,"other",10.4194,"w",60.4240053031944,-1.0631053031944
9155,67.5806,"Johnson",32127,88.4711,23175,10.2,0.5676,0.481,29.0298,10.0508,-47.39,21115,"other",2.5372,"w",70.096203422108,-2.51560342210797
71745,66.0325,"Kenton",49475,1029.7161,165012,29.1,0.4567,0.4748,4.0771,12.0138,0,21117,"other",11.1889,"w",60.2580342990532,5.77446570094683
5454,56.564,"Knott",28652,44.6433,15693,13,0.0891,0.4825,42.8704,9.661,-55.15,21119,"other",2.6509,"w",53.0203418088606,3.54365819113944
11484,71.0728,"Knox",26907,82.1382,31730,10.1,0.658,0.4793,21.2028,10.365,-51.37,21121,"other",4.0561,"w",70.683844746432,0.388955253568042
6296,65.2954,"Larue",33232,54.4547,14241,11.1,0.3439,0.4748,47.2414,9.5639,0,21123,"other",8.1876,"w",63.1751644918691,2.12023550813089
24281,75.0216,"Laurel",32254,138.4814,60094,12.6,0.7122,0.4808,11.1952,11.0037,100,21125,"other",4.0753,"w",71.6653651495773,3.35623485042272
5870,62.2147,"Lawrence",29138,37.885,15745,10.8,0.4333,0.4893,42.7288,9.6643,357.04,21127,"other",2.4579,"w",63.0141643050958,-0.799464305095842
2586,65.2746,"Lee",29455,32.3279,6752,5.6,0.604,0.4862,99.6394,8.8176,0,21129,"other",3.1991,"w",74.0514257593846,-8.77682575938459
4254,84.0386,"Leslie",30047,26.7214,10711,7.3,0.8541,0.4808,62.8107,9.279,-66.74,21131,"other",1.9419,"w",80.7167862828037,3.32181371719631
8539,62.8177,"Letcher",30562,68.4295,23123,11.5,0.2659,0.473,29.0951,10.0486,-88.91,21133,"other",2.3094,"w",59.3588617917216,3.45883820827842
5003,71.3372,"Lewis",28324,28.3365,13682,10.6,0.7175,0.4948,49.1715,9.5238,0,21135,"other",2.2073,"w",74.1111037232074,-2.77390372320736
9408,65.3061,"Lincoln",29204,73.2206,24463,9.6,0.4651,0.478,27.5013,10.1049,0,21137,"other",5.678,"w",65.6493268074448,-0.343226807444767
4577,66.9216,"Livingston",35284,29.7512,9316,11.3,0.282,0.4879,72.2161,9.1395,0,21139,"fourth",4.0683,"w",62.9778663650647,3.94373363493526
10769,70.1551,"Logan",34555,48.7385,26910,13.3,0.3065,0.4583,25.0006,10.2003,0,21141,"other",11.8729,"w",60.1987264073837,9.95637359261635
3939,61.7162,"Lyon",29914,38.8421,8306,13.3,0.2875,0.4885,80.9975,9.0247,0,21143,"other",9.4751,"w",60.5130610321084,1.20313896789165
37256,55.8756,"Madison",44428,148.6839,65018,28,0.3657,0.4584,7.6604,11.0824,0,21151,"other",16.3616,"w",57.9835135062188,-2.10791350621876
