"County","Trump_Actual","Trump_Pred","Difference"
"Harlan",0.85,0.750434052961688,0.099565947038312
"Harrison",0.7,0.711357707979316,-0.011357707979316
"Hart",0.73,0.759916309124331,-0.029916309124331
"Henderson",0.62,0.675115677180658,-0.055115677180658
"Henry",0.69,0.746054560766779,-0.0560545607667791
"Hickman",0.77,0.728024980459786,0.041975019540214
"Hopkins",0.75,0.709963455633588,0.040036544366412
"Jackson",0.89,0.870915964343995,0.019084035656005
"Jefferson",0.41,0.406106028734922,0.00389397126507796
"Jessamine",0.66,0.633285978868221,0.026714021131779
"Johnson",0.84,0.794217792869816,0.045782207130184
"Kenton",0.6,0.566006747080176,0.033993252919824
"Knott",0.76,0.69251325062542,0.06748674937458
"Knox",0.82,0.816096677152104,0.00390332284789596
"Larue",0.75,0.738353770513154,0.011646229486846
"Laurel",0.83,0.802666881923122,0.027333118076878
"Lawrence",0.8,0.779174956763097,0.020825043236903
"Lee",0.81,0.832738842634729,-0.0227388426347289
"Leslie",0.89,0.863607860026428,0.026392139973572
"Letcher",0.8,0.723463228390637,0.076536771609363
"Lewis",0.82,0.843551579396579,-0.023551579396579
"Lincoln",0.77,0.77886278117941,-0.00886278117940997
"Livingston",0.77,0.753974939664299,0.0160250603357011
"Logan",0.71,0.697964069480866,0.012035930519134
"Lyon",0.7,0.75801347059922,-0.05801347059922
"Madison",0.63,0.598286710766181,0.031713289233819
"Magoffin",0.75,0.830943021775693,-0.080943021775693
"Marion",0.63,0.729747354630151,-0.0997473546301509
"Marshall",0.74,0.722050445391533,0.017949554608467
"Martin",0.89,0.777670674285605,0.112329325714395
"Mason",0.69,0.688325373643436,0.0016746263565639
"McCracken",0.66,0.677324732230183,-0.0173247322301829
"McCreary",0.87,0.845613557251115,0.024386442748885
"McLean",0.74,0.73120074946415,0.00879925053584996
"Meade",0.71,0.733465290783749,-0.023465290783749
"Menifee",0.72,0.752124390864703,-0.032124390864703
"Mercer",0.73,0.708213639420197,0.021786360579803
"Metcalfe",0.76,0.78758303672164,-0.02758303672164
"Monroe",0.86,0.84400988591319,0.0159901140868099
"Montgomery",0.69,0.696924214420552,-0.00692421442055202
"Morgan",0.76,0.719561047121192,0.0404389528788081
"Muhlenberg",0.72,0.734797363837338,-0.014797363837338
"Nelson",0.65,0.694461567447327,-0.044461567447327
"Nicholas",0.69,0.707548327745808,-0.0175483277458081
"Ohio",0.76,0.799759591299937,-0.039759591299937
"Oldham",0.62,0.577387497987127,0.042612502012873
"Owen",0.75,0.73014594232297,0.01985405767703
"Owsley",0.84,0.817773924100948,0.022226075899052
"Pendleton",0.77,0.754582801328308,0.015417198671692
"Perry",0.77,0.713972399705698,0.056027600294302
"Pike",0.8,0.740439641493958,0.059560358506042
"Powell",0.71,0.724826159420578,-0.0148261594205781
"Pulaski",0.82,0.783668602808961,0.0363313971910389
"Robertson",0.75,0.759947908945601,-0.00994790894560105
"Rockcastle",0.84,0.828222466001702,0.011777533998298
"Rowan",0.59,0.641405979762262,-0.051405979762262
"Russell",0.84,0.822700660310458,0.017299339689542
"Scott",0.62,0.639527478103624,-0.019527478103624
"Shelby",0.64,0.664588383792038,-0.024588383792038
"Simpson",0.67,0.695429196720314,-0.025429196720314
"Spencer",0.76,0.741042582004728,0.0189574179952721
"Taylor",0.74,0.734909305081153,0.00509069491884695
"Todd",0.76,0.72575599455285,0.03424400544715
"Trigg",0.73,0.733086377101712,-0.003086377101712
"Trimble",0.73,0.707188597926911,0.022811402073089
"Union",0.76,0.719103508250567,0.040896491749433
"Warren",0.59,0.605338798152814,-0.015338798152814
"Washington",0.71,0.714491024670463,-0.00449102467046303
"Wayne",0.8,0.820967819031626,-0.0209678190316259
"Webster",0.76,0.736478905046927,0.023521094953073
"Whitley",0.82,0.800661248854339,0.019338751145661
