"sch.year","district.name","composite.mean.score"
"2015","Kenton County",20.7
"2015","Knott County",18.8
"2015","Knox County",17.3
"2015","LaRue County",20.8
"2015","Laurel County",19.6
"2015","Lawrence County",18.1
"2015","Lee County",17.5
"2015","Leslie County",18.9
"2015","Letcher County",17.8
"2015","Lewis County",18.5
"2015","Lincoln County",19
"2015","Livingston County",18.9
"2015","Logan County",19.6
"2015","Ludlow Independent",20
"2015","Lyon County",20.7
"2015","Madison County",20
"2015","Magoffin County",17.3
"2015","Marion County",19.4
"2015","Marshall County",20
"2015","Martin County",17.6
"2015","Mason County",20
"2015","Mayfield Independent",18.8
"2015","McCracken County",21.1
"2015","McCreary County",17.9
"2015","McLean County",19.4
"2015","Meade County",19.4
"2015","Menifee County",17.9
"2015","Mercer County",19.1
"2015","Metcalfe County",18.5
"2015","Middlesboro Independent",18.4
"2015","Monroe County",17.4
"2015","Montgomery County",18.6
"2015","Morgan County",18.3
"2015","Muhlenberg County",18.5
"2015","Murray Independent",22
"2015","Nelson County",19.6
"2015","Newport Independent",15.9
"2015","Nicholas County",18.6
"2015","Ohio County",18.7
"2015","Oldham County",22.1
"2015","Owen County",18.1
"2015","Owensboro Independent",18.4
"2015","Owsley County",17.6
"2015","Paducah Independent",19.1
"2015","Paintsville Independent",20.7
"2015","Paris Independent",18
"2015","Pendleton County",19.5
"2015","Perry County",18.1
"2015","Pike County",18.1
"2015","Pikeville Independent",20.6
"2015","Pineville Independent",18.9
"2015","Powell County",17.4
"2015","Pulaski County",19.3
"2015","Raceland-Worthington Independent",19.2
"2015","Robertson County",16.8
"2015","Rockcastle County",18.2
"2015","Rowan County",19.4
"2015","Russell County",18.3
"2015","Russell Independent",21.7
"2015","Russellville Independent",18.3
"2015","Scott County",20.6
"2015","Shelby County",19.8
"2015","Silver Grove Independent",15.6
"2015","Simpson County",19.1
"2015","Somerset Independent",20.3
"2015","Spencer County",19.5
"2015","Taylor County",19.3
"2015","Todd County",18.4
"2015","Trigg County",18.5
"2015","Trimble County",19
"2015","Union County",18.6
"2015","Walton-Verona Independent",21.9
"2015","Warren County",20.3
"2015","Washington County",18.9
"2015","Wayne County",17.7
"2015","Webster County",18.5
"2015","Whitley County",19.2
"2015","Williamsburg Independent",20.1
"2015","Williamstown Independent",19.6
"2015","Wolfe County",17.1
"2015","Woodford County",21.3
"2015","Kentucky School for the Blind",NA
"2015","Kentucky School for the Deaf",14.8
"2014","Adair County",19.1
"2014","Allen County",18.8
"2014","Anderson County",19.4
"2014","Ashland Independent",20.2
"2014","Augusta Independent",17.1
"2014","Ballard County",19.2
"2014","Barbourville Independent",19
"2014","Bardstown Independent",19.1
"2014","Barren County",19.2
"2014","Bath County",18.7
"2014","Beechwood Independent",24.8
"2014","Bell County",18.4
"2014","Bellevue Independent",18.8
"2014","Berea Independent",18.4
"2014","Boone County",20.9
"2014","Bourbon County",19.4
"2014","Bowling Green Independent",20.9
"2014","Boyd County",18.3
"2014","Boyle County",20.4
