"","sch.year","district.id","district.name","pct"
"234","2014",1950,"Floyd County School District",38.84
"235","2014",78,"Fort Campbell Dependent Schools",29.44
"236","2014",79,"Fort Knox Dependent Schools",22.02
"237","2014",2040,"Fort Thomas Independent School District",6.37
"238","2014",1980,"Frankfort Independent School District",41.27
"239","2014",2010,"Franklin County School District",17.38
"240","2014",2100,"Fulton County School District",38.31
"241","2014",2070,"Fulton Independent School District",49.44
"242","2014",2130,"Gallatin County School District",22.56
"243","2014",2160,"Garrard County School District",22.88
"244","2014",2220,"Glasgow Independent School District",33.25
"245","2014",2250,"Grant County School District",22.94
"246","2014",2280,"Graves County School District",19.92
"247","2014",2300,"Grayson County School District",28.18
"248","2014",2340,"Green County School District",26.09
"249","2014",2400,"Greenup County School District",21.36
"250","2014",2460,"Hancock County School District",16.67
"251","2014",2490,"Hardin County School District",18.97
"252","2014",2540,"Harlan County School District",38.7
"253","2014",2520,"Harlan Independent School District",44.79
"254","2014",2580,"Harrison County School District",22.35
"255","2014",2640,"Hart County School District",30.47
"256","2014",2670,"Hazard Independent School District",38.2
"257","2014",2710,"Henderson County School District",23.8
"258","2014",2760,"Henry County School District",21.91
"259","2014",2790,"Hickman County School District",24.56
"260","2014",2860,"Hopkins County School District",21.23
"261","2014",2940,"Jackson County School District",32.28
"262","2014",2910,"Jackson Independent School District",54.73
"263","2014",2990,"Jefferson County School District",21.46
"264","2014",3000,"Jenkins Independent School District",36.23
"265","2014",3030,"Jessamine County School District",20.08
"266","2014",3060,"Johnson County School District",28.53
"267","2014",3090,"Kenton County School District",12.45
"268","2014",3120,"Knott County School District",39.73
"269","2014",3150,"Knox County School District",47.6
"270","2014",3180,"Larue County School District",24.37
"271","2014",3210,"Laurel County School District",29.63
"272","2014",3240,"Lawrence County School District",29.74
"273","2014",3270,"Lee County School District",40.04
"274","2014",3330,"Leslie County School District",37.82
"275","2014",3360,"Letcher County School District",33.42
"276","2014",3390,"Lewis County School District",40.55
"277","2014",3480,"Lincoln County School District",31.97
"278","2014",3510,"Livingston County School District",21.41
"279","2014",3540,"Logan County School District",19.83
"280","2014",3630,"Ludlow Independent School District",30.08
"281","2014",3690,"Lyon County School District",20.56
"282","2014",3720,"Madison County School District",19.73
"283","2014",3750,"Magoffin County School District",35.03
"284","2014",3780,"Marion County School District",25.61
"285","2014",3810,"Marshall County School District",16.71
"286","2014",3840,"Martin County School District",39.82
"287","2014",3870,"Mason County School District",28.04
"288","2014",3900,"Mayfield Independent School District",35.11
"289","2014",3960,"McCracken County School District",18.23
"290","2014",3990,"McCreary County School District",46.49
"291","2014",4020,"McLean County School District",22.27
"292","2014",4050,"Meade County School District",17.16
"293","2014",4080,"Menifee County School District",36.55
"294","2014",4110,"Mercer County School District",20.53
"295","2014",4140,"Metcalfe County School District",35.5
"296","2014",4170,"Middlesboro Independent School District",45.21
"297","2014",4200,"Monroe County School District",34.25
"298","2014",4250,"Montgomery County School District",26.3
"299","2014",4290,"Morgan County School District",34.83
"300","2014",81,"Muhlenberg County School District",27.3
