"","V1","V2"
"140","Great Falls, MT (Metropolitan Statistical Area) ","24500"
"141","Greeley, CO (Metropolitan Statistical Area) ","24540"
"142","Green Bay, WI (Metropolitan Statistical Area) ","24580"
"143","Greensboro-High Point, NC (Metropolitan Statistical Area) ","24660"
"144","Greenville, NC (Metropolitan Statistical Area) ","24780"
"145","Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area) ","24860"
"146","Gulfport-Biloxi-Pascagoula, MS (Metropolitan Statistical Area) ","25060"
"147","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area) ","25180"
"148","Hammond, LA (Metropolitan Statistical Area) ","25220"
"149","Hanford-Corcoran, CA (Metropolitan Statistical Area) ","25260"
"150","Harrisburg-Carlisle, PA (Metropolitan Statistical Area) ","25420"
"151","Harrisonburg, VA (Metropolitan Statistical Area) ","25500"
"152","Hartford-West Hartford-East Hartford, CT (Metropolitan Statistical Area) ","25540"
"153","Hattiesburg, MS (Metropolitan Statistical Area) ","25620"
"154","Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area) ","25860"
"155","Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area) ","25940"
"156","Hinesville, GA (Metropolitan Statistical Area) ","25980"
"157","Homosassa Springs, FL (Metropolitan Statistical Area) ","26140"
"158","Hot Springs, AR (Metropolitan Statistical Area) ","26300"
"159","Houma-Thibodaux, LA (Metropolitan Statistical Area) ","26380"
"160","Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area) ","26420"
"161","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area) ","26580"
"162","Huntsville, AL (Metropolitan Statistical Area) ","26620"
"163","Idaho Falls, ID (Metropolitan Statistical Area) ","26820"
"164","Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area) ","26900"
"165","Iowa City, IA (Metropolitan Statistical Area) ","26980"
"166","Ithaca, NY (Metropolitan Statistical Area) ","27060"
"167","Jackson, MI (Metropolitan Statistical Area) ","27100"
"168","Jackson, MS (Metropolitan Statistical Area) ","27140"
"169","Jackson, TN (Metropolitan Statistical Area) ","27180"
"170","Jacksonville, FL (Metropolitan Statistical Area) ","27260"
"171","Jacksonville, NC (Metropolitan Statistical Area) ","27340"
"172","Janesville-Beloit, WI (Metropolitan Statistical Area) ","27500"
"173","Jefferson City, MO (Metropolitan Statistical Area) ","27620"
"174","Johnson City, TN (Metropolitan Statistical Area) ","27740"
"175","Johnstown, PA (Metropolitan Statistical Area) ","27780"
"176","Jonesboro, AR (Metropolitan Statistical Area) ","27860"
"177","Joplin, MO (Metropolitan Statistical Area) ","27900"
"178","Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area) ","27980"
"179","Kalamazoo-Portage, MI (Metropolitan Statistical Area) ","28020"
"180","Kankakee, IL (Metropolitan Statistical Area) ","28100"
"181","Kansas City, MO-KS (Metropolitan Statistical Area) ","28140"
"182","Kennewick-Richland, WA (Metropolitan Statistical Area) ","28420"
"183","Killeen-Temple, TX (Metropolitan Statistical Area) ","28660"
"184","Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area) ","28700"
"185","Kingston, NY (Metropolitan Statistical Area) ","28740"
"186","Knoxville, TN (Metropolitan Statistical Area) ","28940"
"187","Kokomo, IN (Metropolitan Statistical Area) ","29020"
"188","La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area) ","29100"
"189","Lafayette, LA (Metropolitan Statistical Area) ","29180"
"190","Lafayette-West Lafayette, IN (Metropolitan Statistical Area) ","29200"
"191","Lake Charles, LA (Metropolitan Statistical Area) ","29340"
"192","Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area) ","29420"
"193","Lakeland-Winter Haven, FL (Metropolitan Statistical Area) ","29460"
"194","Lancaster, PA (Metropolitan Statistical Area) ","29540"
"195","Lansing-East Lansing, MI (Metropolitan Statistical Area) ","29620"
"196","Laredo, TX (Metropolitan Statistical Area) ","29700"
"197","Las Cruces, NM (Metropolitan Statistical Area) ","29740"
"198","Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area) ","29820"
"199","Lawrence, KS (Metropolitan Statistical Area) ","29940"
"200","Lawton, OK (Metropolitan Statistical Area) ","30020"
"201","Lebanon, PA (Metropolitan Statistical Area) ","30140"
"202","Lewiston, ID-WA (Metropolitan Statistical Area) ","30300"
"203","Lewiston-Auburn, ME (Metropolitan Statistical Area) ","30340"
"204","Lexington-Fayette, KY (Metropolitan Statistical Area) ","30460"
"205","Lima, OH (Metropolitan Statistical Area) ","30620"
"206","Lincoln, NE (Metropolitan Statistical Area) ","30700"
"207","Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area) ","30780"
"208","Logan, UT-ID (Metropolitan Statistical Area) ","30860"
"209","Longview, TX (Metropolitan Statistical Area) ","30980"
"210","Longview, WA (Metropolitan Statistical Area) ","31020"
"211","Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area) ","31080"
"212","Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area) ","31140"
"213","Lubbock, TX (Metropolitan Statistical Area) ","31180"
"214","Lynchburg, VA (Metropolitan Statistical Area) ","31340"
"215","Macon, GA (Metropolitan Statistical Area) ","31420"
"216","Madera, CA (Metropolitan Statistical Area) ","31460"
"217","Madison, WI (Metropolitan Statistical Area) ","31540"
"218","Manchester-Nashua, NH (Metropolitan Statistical Area) ","31700"
"219","Manhattan, KS (Metropolitan Statistical Area) ","31740"
"220","Mankato-North Mankato, MN (Metropolitan Statistical Area) ","31860"
"221","Mansfield, OH (Metropolitan Statistical Area) ","31900"
"222","McAllen-Edinburg-Mission, TX (Metropolitan Statistical Area) ","32580"
"223","Medford, OR (Metropolitan Statistical Area) ","32780"
"224","Memphis, TN-MS-AR (Metropolitan Statistical Area) ","32820"
"225","Merced, CA (Metropolitan Statistical Area) ","32900"
"226","Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area) ","33100"
"227","Michigan City-La Porte, IN (Metropolitan Statistical Area) ","33140"
"228","Midland, MI (Metropolitan Statistical Area) ","33220"
"229","Midland, TX (Metropolitan Statistical Area) ","33260"
"230","Milwaukee-Waukesha-West Allis, WI (Metropolitan Statistical Area) ","33340"
"231","Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area) ","33460"
"232","Missoula, MT (Metropolitan Statistical Area) ","33540"
"233","Mobile, AL (Metropolitan Statistical Area) ","33660"
"234","Modesto, CA (Metropolitan Statistical Area) ","33700"
"235","Monroe, LA (Metropolitan Statistical Area) ","33740"
"236","Monroe, MI (Metropolitan Statistical Area) ","33780"
"237","Montgomery, AL (Metropolitan Statistical Area) ","33860"
"238","Morgantown, WV (Metropolitan Statistical Area) ","34060"
"239","Morristown, TN (Metropolitan Statistical Area) ","34100"
"240","Mount Vernon-Anacortes, WA (Metropolitan Statistical Area) ","34580"
"241","Muncie, IN (Metropolitan Statistical Area) ","34620"
"242","Muskegon, MI (Metropolitan Statistical Area) ","34740"
"243","Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area) ","34820"
"244","Napa, CA (Metropolitan Statistical Area) ","34900"
"245","Naples-Immokalee-Marco Island, FL (Metropolitan Statistical Area) ","34940"
"246","Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area) ","34980"
"247","New Bern, NC (Metropolitan Statistical Area) ","35100"
"248","New Haven-Milford, CT (Metropolitan Statistical Area) ","35300"
"249","New Orleans-Metairie, LA (Metropolitan Statistical Area) ","35380"
"250","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area) ","35620"
