PROV,Medicaid Days,SSI Days,Insured Low Income Days,Factor 3,Total Uncompensated Care Payment Amount,Claims Average,Estimated Per Claim Amount,Projected to Receive DSH for FY 2015
040041,5849,1206,7055,0.000193148,"$1,477,131",2180,$677.48,YES
040042,3711,1326,5037,0.000137901,"$1,054,615",1319,$799.56,YES
040047,208,125,333,0.000009117,"$69,721",436,$160.03,YES
040050,1398,459,1857,0.000050840,"$388,807",810,$480.21,YES
040051,1766,401,2167,0.000059327,"$453,713",926,$490.15,YES
040055,15176,4091,19267,0.000527483,"$4,034,001",6389,$631.43,YES
040062,12677,2050,14727,0.000403189,"$3,083,445",4518,$682.53,YES
040067,1161,354,1515,0.000041477,"$317,201",693,$457.50,YES
040069,2980,361,3341,0.000091468,"$699,517",577,"$1,212.33",YES
040071,8313,2999,11312,0.000309695,N/A,3378,$701.14,SCH
040072,1034,302,1336,0.000036576,"$279,723",799,$350.24,YES
040074,307,155,462,0.000012648,"$96,731",612,$157.97,YES
040076,0,429,429,0.000011745,"$89,821",989,$90.82,YES
040078,4497,1594,6091,0.000166757,"$1,275,295",2686,$474.85,YES
040080,1847,425,2272,0.000062202,"$475,697",880,$540.36,YES
040084,3172,940,4112,0.000112576,"$860,944",2330,$369.56,YES
040085,1042,601,1643,0.000044981,"$344,001",704,$488.87,YES
040088,2704,747,3451,0.000094480,N/A,2278,$317.14,SCH
040091,1174,297,1471,0.000040272,N/A,N/A,N/A,NO
040114,29905,6163,36068,0.000987453,"$7,551,687",11279,$669.52,YES
040118,2891,1149,4040,0.000110605,"$845,869",3120,$271.08,YES
040119,9803,2196,11999,0.000328503,"$2,512,274",3665,$685.41,YES
040132,0,0,0,,N/A,N/A,N/A,NO
040134,486,968,1454,0.000039807,N/A,N/A,N/A,NO
040137,397,267,664,0.000018179,"$139,024",911,$152.61,YES
040147,195,118,313,0.000008569,N/A,N/A,N/A,NO
040152,16,35,51,0.000001396,N/A,N/A,N/A,NO
040153,618,0,618,0.000016919,N/A,N/A,N/A,NO
050002,12213,3420,15633,0.000427993,"$3,273,138",2250,"$1,454.51",YES
050006,6380,1080,7460,0.000204236,"$1,561,927",2524,$618.83,YES
050007,3856,1914,5770,0.000157968,"$1,208,086",3827,$315.70,YES
050008,2093,880,2973,0.000081393,"$622,468",952,$654.08,YES
050009,6177,1222,7399,0.000202566,"$1,549,155",3081,$502.86,YES
050013,7164,829,7993,0.000218829,"$1,673,523",2474,$676.54,YES
050014,1692,193,1885,0.000051607,N/A,1038,$380.34,SCH
050016,214,213,427,0.000011690,N/A,N/A,N/A,NO
050017,19665,3440,23105,0.000632558,"$4,837,577",4320,"$1,119.90",YES
050018,20042,3551,23593,0.000645918,"$4,939,752",1188,"$4,159.21",YES
050022,35779,6451,42230,0.001156153,"$8,841,848",4341,"$2,036.82",YES
050024,16189,8185,24374,0.000667300,"$5,103,272",3936,"$1,296.67",YES
050025,47946,5801,53747,0.001471460,"$11,253,204",6094,"$1,846.60",YES
050026,33417,5176,38593,0.001056581,"$8,080,356",7512,"$1,075.61",YES
050028,2437,302,2739,0.000074987,"$573,474",582,$984.79,YES
050030,10899,1967,12866,0.000352239,"$2,693,801",3909,$689.13,YES
050036,31116,3354,34470,0.000943703,"$7,217,108",3436,"$2,100.24",YES
050038,53341,3621,56962,0.001559479,"$11,926,340",2261,"$5,275.59",YES
050039,12027,3185,15212,0.000416467,"$3,184,991",6837,$465.85,YES
050040,36749,843,37592,0.001029176,"$7,870,773",657,"$11,979.87",YES
050042,3173,393,3566,0.000097628,N/A,1195,$624.79,SCH
050043,13103,6999,20102,0.000550343,"$4,208,828",4989,$843.57,YES
050045,8265,3836,12101,0.000331295,"$2,533,630",2267,"$1,117.61",YES
050046,30,58,88,0.000002409,N/A,N/A,N/A,NO
050047,19251,5522,24773,0.000678224,"$5,186,813",5275,$983.22,YES
050054,2882,735,3617,0.000099025,"$757,304",777,$974.23,YES
050055,6196,2086,8282,0.000226741,"$1,734,032",922,"$1,880.05",YES
050056,37169,4918,42087,0.001152238,"$8,811,907",4344,"$2,028.37",YES
050057,28160,5192,33352,0.000913095,"$6,983,029",6462,"$1,080.63",YES
050058,21095,10206,31301,0.000856944,"$6,553,603",3513,"$1,865.71",YES
050060,85197,11756,96953,0.002654333,"$20,299,400",7400,"$2,743.04",YES
050063,38371,9518,47889,0.001311082,"$10,026,693",3107,"$3,226.78",YES
050067,1691,232,1923,0.000052647,"$402,625",355,"$1,134.16",YES
050069,17874,2043,19917,0.000545278,"$4,170,094",4054,"$1,028.64",YES
050070,112,149,261,0.000007146,N/A,N/A,N/A,NO
050071,701,1303,2004,0.000054865,N/A,N/A,N/A,NO
050072,1592,427,2019,0.000055275,N/A,N/A,N/A,NO
050073,3868,638,4506,0.000123363,N/A,N/A,N/A,NO
050075,5521,1236,6757,0.000184990,N/A,N/A,N/A,NO
050076,2307,721,3028,0.000082899,N/A,N/A,N/A,NO
050077,45624,10731,56355,0.001542861,"$11,799,250",7616,"$1,549.27",YES
050078,5675,1365,7040,0.000192738,"$1,473,990",1525,$966.76,YES
050079,7089,2383,9472,0.000259320,"$1,983,187",2371,$836.43,YES
050082,17234,3265,20499,0.000561212,"$4,291,950",3690,"$1,163.24",YES
050084,25081,4594,29675,0.000812428,"$6,213,162",5613,"$1,106.92",YES
050089,22166,1706,23872,0.000653556,"$4,998,167",999,"$5,001.50",YES
050090,994,120,1114,0.000030499,"$233,242",724,$322.31,YES
050091,3063,1368,4431,0.000121310,"$927,734",767,"$1,209.04",YES
050093,25010,6416,31426,0.000860366,"$6,579,775",9870,$666.62,YES
050096,3,61,64,0.000001752,"$13,400",63,$212.70,YES
050099,6191,2512,8703,0.000238267,"$1,822,179",3458,$526.95,YES
050100,38569,5196,43765,0.001198178,"$9,163,236",5181,"$1,768.51",YES
050101,5565,2241,7806,0.000213709,"$1,634,370",1328,"$1,230.39",YES
050102,18995,2283,21278,0.000582539,"$4,455,052",1526,"$2,920.07",YES
050103,54832,8874,63706,0.001744113,"$13,338,355",3472,"$3,842.06",YES
050104,64996,6970,71966,0.001970251,"$15,067,781",2640,"$5,708.21",YES
050107,17628,1236,18864,0.000516450,"$3,949,624",3318,"$1,190.36",YES
050108,57109,4167,61276,0.001677585,"$12,829,578",6839,"$1,876.03",YES
050110,2348,295,2643,0.000072359,"$553,374",910,$608.33,YES
050111,3642,3243,6885,0.000188494,"$1,441,537",1423,"$1,013.03",YES
050112,14447,5336,19783,0.000541610,"$4,142,038",4524,$915.64,YES
050113,3814,452,4266,0.000116793,"$893,188",277,"$3,224.50",YES
050115,19094,2057,21151,0.000579062,"$4,428,461",3990,"$1,109.98",YES
050116,16114,5726,21840,0.000597925,"$4,572,720",4009,"$1,140.52",YES
050118,3507,593,4100,0.000112248,"$858,432",1601,$536.07,YES
050121,13049,3704,16753,0.000458656,"$3,507,636",3939,$890.41,YES
050122,12056,1721,13777,0.000377180,"$2,884,540",1647,"$1,751.75",YES
050124,616,1300,1916,0.000052455,"$401,160",1646,$243.77,YES
050125,12149,12356,24505,0.000670886,"$5,130,700",4457,"$1,151.16",YES
050126,47860,4956,52816,0.001445972,"$11,058,277",2998,"$3,688.55",YES
050127,2748,613,3361,0.000092016,"$703,705",705,$998.63,YES
050128,19445,1551,20996,0.000574819,"$4,396,008",3891,"$1,129.69",YES
050129,25131,3974,29105,0.000796823,"$6,093,819",3088,"$1,973.17",YES
050131,435,236,671,0.000018370,N/A,N/A,N/A,NO
050132,12712,7381,20093,0.000550097,"$4,206,944",2439,"$1,725.10",YES
050133,14601,3831,18432,0.000504623,N/A,5368,$718.97,SCH
050135,30014,9341,39355,0.001077443,"$8,239,899",2745,"$3,001.78",YES
050136,1739,302,2041,0.000055878,"$427,332",1124,$380.30,YES
050137,1344,987,2331,0.000063817,N/A,N/A,N/A,NO
050138,6238,2206,8444,0.000231176,N/A,N/A,N/A,NO
050139,5055,1806,6861,0.000187837,N/A,N/A,N/A,NO
050140,6027,1993,8020,0.000219568,N/A,N/A,N/A,NO
050145,4617,1232,5849,0.000160131,N/A,N/A,N/A,NO
050146,12767,1599,14366,0.000393306,N/A,N/A,N/A,NO
050149,52544,3538,56082,0.001535387,"$11,742,091",1479,"$7,937.42",YES
050150,3094,345,3439,0.000094151,"$720,036",2338,$307.97,YES
050152,5850,4756,10606,0.000290366,"$2,220,617",1664,"$1,334.51",YES
050153,15810,4010,19820,0.000542623,"$4,149,785",3475,"$1,194.30",YES
050158,449,931,1380,0.000037781,"$288,936",947,$305.11,YES
050159,22926,961,23887,0.000653967,"$5,001,308",1255,"$3,984.05",YES
050167,25801,1126,26927,0.000737195,"$5,637,803",837,"$6,738.41",YES
050168,6559,2894,9453,0.000258800,"$1,979,209",4072,$486.05,YES
050169,14381,3328,17709,0.000484829,"$3,707,797",3625,"$1,022.84",YES
050174,10099,2426,12525,0.000342904,"$2,622,405",4951,$529.71,YES
050179,13443,3302,16745,0.000458437,"$3,505,961",3234,"$1,083.98",YES
050180,1548,2134,3682,0.000100804,N/A,N/A,N/A,NO
050189,2591,131,2722,0.000074522,N/A,238,"$2,391.25",SCH
050191,28018,3420,31438,0.000860695,"$6,582,288",1919,"$3,430.66",YES
050192,3739,230,3969,0.000108661,"$831,004",264,"$3,147.74",YES
050194,10465,873,11338,0.000310406,"$2,373,878",1406,"$1,688.39",YES
050195,11970,5724,17694,0.000484418,"$3,704,657",4895,$756.77,YES
050196,5608,5,5613,0.000153670,"$1,175,214",50,"$23,348.62",YES
050197,1024,847,1871,0.000051223,N/A,N/A,N/A,NO
050204,7573,3190,10763,0.000294664,"$2,253,488",2675,$842.53,YES
050205,2585,708,3293,0.000090154,"$689,467",658,"$1,048.35",YES
050211,1971,784,2755,0.000075425,"$576,824",1266,$455.75,YES
050219,3423,0,3423,0.000093713,N/A,N/A,N/A,NO
050222,21163,6540,27703,0.000758440,"$5,800,277",4082,"$1,420.82",YES
050224,7283,3137,10420,0.000285274,N/A,N/A,N/A,NO
050225,5496,771,6267,0.000171575,"$1,312,144",2530,$518.63,YES
050226,13427,4306,17733,0.000485486,"$3,712,822",2942,"$1,261.86",YES
050228,36310,5697,42007,0.001150048,"$8,795,157",2217,"$3,966.55",YES
050230,11495,4294,15789,0.000432264,"$3,305,800",1645,"$2,009.20",YES
050231,65407,4586,69993,0.001916235,"$14,654,687",3137,"$4,671.56",YES
