PROV,Medicaid Days,SSI Days,Insured Low Income Days,Factor 3,Total Uncompensated Care Payment Amount,Claims Average,Estimated Per Claim Amount,Projected to Receive DSH for FY 2015
260009,3175,490,3665,0.000100339,N/A,2535,$302.66,SCH
260011,5847,982,6829,0.000186961,"$1,429,812",3703,$386.12,YES
260015,6475,872,7347,0.000201143,"$1,538,268",1188,"$1,295.20",YES
260017,4930,637,5567,0.000152411,N/A,2413,$482.98,SCH
260020,43276,1361,44637,0.001222051,"$9,345,810",8307,"$1,125.05",YES
260022,2407,429,2836,0.000077643,N/A,1374,$432.05,SCH
260023,5536,1389,6925,0.000189589,"$1,449,912",4285,$338.37,YES
260024,1646,322,1968,0.000053879,"$412,047",765,$538.86,YES
260025,2482,516,2998,0.000082078,N/A,2428,$258.56,SCH
260027,19611,2445,22056,0.000603839,"$4,617,944",3770,"$1,225.03",YES
260032,69166,9924,79090,0.002165289,"$16,559,359",18123,$913.74,YES
260034,238,70,308,0.000008432,N/A,N/A,N/A,NO
260040,35314,4458,39772,0.001088859,"$8,327,207",9095,$915.58,YES
260047,3312,523,3835,0.000104993,"$802,948",3080,$260.67,YES
260048,30904,2945,33849,0.000926702,"$7,087,087",1892,"$3,745.16",YES
260050,662,18,680,0.000018617,N/A,333,$427.55,SCH
260052,3593,344,3937,0.000107785,"$824,304",1954,$421.93,YES
260057,1206,220,1426,0.000039040,"$298,567",915,$326.42,YES
260059,1859,313,2172,0.000059464,N/A,912,$498.82,SCH
260061,1446,73,1519,0.000041586,"$318,039",423,$751.27,YES
260062,4381,356,4737,0.000129687,"$991,803",1810,$548.06,YES
260064,931,187,1118,0.000030608,N/A,1284,$182.31,SCH
260065,35854,4919,40773,0.001116264,"$8,536,790",10773,$792.40,YES
260068,6992,1199,8191,0.000224249,N/A,N/A,N/A,NO
260070,2794,1112,3906,0.000106937,"$817,813",837,$977.08,YES
260074,1369,171,1540,0.000042161,N/A,1077,$299.48,SCH
260077,8331,1775,10106,0.000276677,N/A,N/A,N/A,NO
260078,7402,1418,8820,0.000241470,"$1,846,675",2256,$818.68,YES
260080,102,161,263,0.000007200,"$55,065",178,$309.94,YES
260081,5165,670,5835,0.000159748,N/A,N/A,N/A,NO
260085,5171,997,6168,0.000168865,"$1,291,416",4420,$292.18,YES
260091,71605,3299,74904,0.002050686,"$15,682,921",4902,"$3,199.29",YES
260094,3495,496,3991,0.000109264,N/A,2506,$333.44,SCH
260095,9079,1282,10361,0.000283659,"$2,169,320",4308,$503.56,YES
260096,4900,1425,6325,0.000173163,N/A,N/A,N/A,NO
260097,1988,236,2224,0.000060888,N/A,1023,$455.03,SCH
260102,11272,713,11985,0.000328120,"$2,509,343",648,"$3,870.45",YES
260104,28527,2118,30645,0.000838984,"$6,416,254",6282,"$1,021.43",YES
260105,15964,4511,20475,0.000560555,"$4,286,925",4596,$932.68,YES
260108,6930,1615,8545,0.000233941,N/A,N/A,N/A,NO
260110,6578,1513,8091,0.000221512,"$1,694,042",4445,$381.11,YES
260113,4957,1517,6474,0.000177242,N/A,1741,$778.42,SCH
260115,1331,179,1510,0.000041340,N/A,N/A,N/A,NO
260116,4153,751,4904,0.000134259,"$1,026,768",1301,$789.01,YES
260119,14023,3092,17115,0.000468566,"$3,583,429",4389,$816.39,YES
260137,26383,3532,29915,0.000818999,"$6,263,412",6703,$934.37,YES
260138,23078,3213,26291,0.000719783,"$5,504,642",7342,$749.71,YES
260141,35739,2830,38569,0.001055924,"$8,075,331",5837,"$1,383.39",YES
260142,1415,175,1590,0.000043530,N/A,810,$410.99,SCH
260147,67,72,139,0.000003805,N/A,178,$163.50,SCH
260160,421,177,598,0.000016372,"$125,205",606,$206.61,YES
260162,312,184,496,0.000013579,N/A,N/A,N/A,NO
260163,2816,347,3163,0.000086595,"$662,249",1777,$372.68,YES
260175,1958,244,2202,0.000060285,N/A,1123,$410.54,SCH
260176,1007,554,1561,0.000042736,N/A,N/A,N/A,NO
260177,3977,614,4591,0.000125690,N/A,N/A,N/A,NO
260179,2461,694,3155,0.000086376,N/A,N/A,N/A,NO
260180,13020,3344,16364,0.000448006,"$3,426,190",5688,$602.32,YES
260183,14188,2391,16579,0.000453892,"$3,471,205",5541,$626.42,YES
260186,3265,487,3752,0.000102720,N/A,2796,$280.93,SCH
260190,374,197,571,0.000015633,N/A,N/A,N/A,NO
260191,913,276,1189,0.000032552,N/A,N/A,N/A,NO
260193,2037,317,2354,0.000064447,N/A,N/A,N/A,NO
260195,2029,301,2330,0.000063790,N/A,1023,$477.03,SCH
260200,5743,586,6329,0.000173272,"$1,325,126",2940,$450.67,YES
260207,434,216,650,0.000017795,"$136,093",359,$379.44,YES
260209,109,15,124,0.000003395,N/A,N/A,N/A,NO
260210,13636,2584,16220,0.000444064,"$3,396,040",1849,"$1,837.02",YES
260211,160,23,183,0.000005010,N/A,N/A,N/A,NO
260214,281,139,420,0.000011499,N/A,N/A,N/A,NO
260216,4398,382,4780,0.000130865,"$1,000,806",3093,$323.57,YES
260219,1107,95,1202,0.000032908,N/A,N/A,N/A,NO
260227,29,5,34,0.000000931,"$7,119",74,$96.85,YES
260228,,,,0.000000000,$0,527,$0.00,YES
260229,,,,,N/A,N/A,N/A,NO
270003,2814,423,3237,0.000088621,N/A,1862,$363.92,SCH
270004,11367,2128,13495,0.000369460,"$2,825,497",4704,$600.66,YES
270012,8573,1646,10219,0.000279771,N/A,4022,$531.93,SCH
270014,2481,961,3442,0.000094233,N/A,N/A,N/A,NO
270017,2250,461,2711,0.000074220,N/A,1424,$398.70,SCH
270023,6126,349,6475,0.000177269,"$1,355,694",1329,"$1,020.09",YES
270032,1395,118,1513,0.000041422,"$316,782",400,$791.96,YES
270049,11041,1373,12414,0.000339865,"$2,599,164",4032,$644.58,YES
270051,6871,1154,8025,0.000219705,"$1,680,223",2812,$597.45,YES
270057,2038,202,2240,0.000061326,N/A,N/A,N/A,NO
270074,577,233,810,0.000022176,"$169,593",162,"$1,044.72",YES
270086,19,46,65,0.000001780,N/A,N/A,N/A,NO
270087,53,21,74,0.000002026,"$15,494",202,$76.70,YES
280003,17093,1585,18678,0.000511357,"$3,910,680",7922,$493.65,YES
280009,6105,454,6559,0.000179569,N/A,3640,$377.24,SCH
280013,28651,3601,32252,0.000882980,"$6,752,718",7482,$902.57,YES
280020,10889,859,11748,0.000321631,"$2,459,721",5367,$458.30,YES
280023,4348,483,4831,0.000132261,"$1,011,484",2664,$379.69,YES
280030,12545,1417,13962,0.000382245,"$2,923,274",2343,"$1,247.49",YES
280032,1870,269,2139,0.000058561,"$447,850",1569,$285.44,YES
280040,8890,941,9831,0.000269148,N/A,N/A,N/A,NO
280060,18880,2743,21623,0.000591984,"$4,527,286",4817,$939.79,YES
280061,3599,589,4188,0.000114657,N/A,2451,$357.80,SCH
280065,2129,441,2570,0.000070360,N/A,2112,$254.74,SCH
280077,2362,187,2549,0.000069785,N/A,1670,$319.51,SCH
280081,11913,1586,13499,0.000369569,"$2,826,334",2356,"$1,199.63",YES
280105,673,54,727,0.000019903,N/A,N/A,N/A,NO
280111,1063,86,1149,0.000031457,N/A,N/A,N/A,NO
280119,149,8,157,0.000004298,"$32,872",22,"$1,471.87",YES
280125,1839,712,2551,0.000069840,N/A,1980,$269.71,SCH
280127,16,11,27,0.000000739,N/A,N/A,N/A,NO
280128,69,87,156,0.000004271,N/A,N/A,N/A,NO
280129,44,6,50,0.000001369,N/A,N/A,N/A,NO
280130,1922,140,2062,0.000056452,N/A,N/A,N/A,NO
280131,11,13,24,0.000000657,N/A,N/A,N/A,NO
280132,1111,99,1210,0.000033127,N/A,N/A,N/A,NO
280133,77,18,95,0.000002601,N/A,N/A,N/A,NO
290001,30605,3893,34498,0.000944470,"$7,222,971",7870,$917.82,YES
290002,9,11,20,0.000000548,N/A,N/A,N/A,NO
290003,51422,5031,56453,0.001545544,"$11,819,769",6389,"$1,849.92",YES
290005,5370,2138,7508,0.000205550,"$1,571,977",1482,"$1,060.47",YES
290006,1064,226,1290,0.000035317,N/A,N/A,N/A,NO
290007,47990,2303,50293,0.001376898,"$10,530,027",2716,"$3,877.04",YES
290008,677,160,837,0.000022915,N/A,719,$243.85,SCH
290009,6862,906,7768,0.000212669,"$1,626,414",3534,$460.18,YES
290012,2239,906,3145,0.000086102,"$658,480",1952,$337.28,YES
290019,2917,763,3680,0.000100749,N/A,N/A,N/A,NO
290020,48,13,61,0.000001670,N/A,55,$230.82,SCH
290021,21206,3694,24900,0.000681700,"$5,213,403",3744,"$1,392.47",YES
290022,4927,1703,6630,0.000181513,"$1,388,147",3114,$445.78,YES
290027,0,0,0,,N/A,N/A,N/A,NO
290032,956,269,1225,0.000033537,N/A,N/A,N/A,NO
290039,10848,3443,14291,0.000391252,"$2,992,158",6201,$482.50,YES
290041,14736,1415,16151,0.000442174,"$3,381,593",3955,$855.09,YES
290042,0,8,8,0.000000219,N/A,N/A,N/A,NO
290045,9896,1514,11410,0.000312378,"$2,388,953",4461,$535.56,YES
290046,10952,1724,12676,0.000347038,"$2,654,020",2631,"$1,008.88",YES
290047,4082,982,5064,0.000138640,"$1,060,268",1795,$590.68,YES
290049,631,237,868,0.000023764,N/A,N/A,N/A,NO
290051,9,10,19,0.000000520,N/A,N/A,N/A,NO
290053,2837,848,3685,0.000100886,N/A,N/A,N/A,NO
290054,4791,1156,5947,0.000162814,N/A,N/A,N/A,NO
300001,5198,603,5801,0.000158817,N/A,N/A,N/A,NO
300003,22886,1602,24488,0.000670421,"$5,127,141",7801,$657.27,YES
300005,2274,245,2519,0.000068964,N/A,1900,$277.63,SCH
300011,1267,224,1491,0.000040820,N/A,N/A,N/A,NO
300012,10735,884,11619,0.000318100,"$2,432,712",4296,$566.27,YES
300014,2290,401,2691,0.000073673,"$563,424",1599,$352.43,YES
300017,882,139,1021,0.000027952,N/A,N/A,N/A,NO
300018,3490,588,4078,0.000111646,"$853,826",3133,$272.53,YES
300019,1082,211,1293,0.000035399,N/A,N/A,N/A,NO
300020,5073,690,5763,0.000157777,"$1,206,620",2590,$465.94,YES
300023,1876,375,2251,0.000061627,N/A,N/A,N/A,NO
300029,2640,451,3091,0.000084624,N/A,N/A,N/A,NO
300034,5397,682,6079,0.000166428,"$1,272,782",4352,$292.44,YES
310001,40059,4513,44572,0.001220271,"$9,332,201",12228,$763.18,YES
310002,63870,7014,70884,0.001940629,"$14,841,239",5282,"$2,809.60",YES
310003,11095,4073,15168,0.000415262,"$3,175,779",3714,$855.16,YES
310005,2123,257,2380,0.000065159,N/A,N/A,N/A,NO
310006,9085,2636,11721,0.000320892,"$2,454,068",3878,$632.87,YES
310008,6847,2904,9751,0.000266958,"$2,041,602",6396,$319.22,YES
310009,18441,4228,22669,0.000620621,"$4,746,290",5939,$799.22,YES
310010,4196,492,4688,0.000128346,N/A,N/A,N/A,NO
310011,4877,827,5704,0.000156161,"$1,194,267",4393,$271.88,YES
310012,3148,1639,4787,0.000131056,N/A,N/A,N/A,NO
310014,46369,5612,51981,0.001423111,"$10,883,450",6175,"$1,762.41",YES
310015,15137,2170,17307,0.000473823,N/A,N/A,N/A,NO
310016,13808,4029,17837,0.000488333,"$3,734,597",2815,"$1,326.68",YES
310017,3066,612,3678,0.000100695,N/A,N/A,N/A,NO
310019,61261,8932,70193,0.001921711,"$14,696,562",9390,"$1,565.13",YES
310021,4436,1674,6110,0.000167277,"$1,279,273",1981,$645.88,YES
310022,20805,2703,23508,0.000643591,N/A,N/A,N/A,NO
310024,1621,855,2476,0.000067787,N/A,N/A,N/A,NO
310025,2671,1108,3779,0.000103460,"$791,223",2484,$318.48,YES
310027,22341,3329,25670,0.000702781,"$5,374,621",3538,"$1,519.26",YES
310028,2621,587,3208,0.000087827,N/A,N/A,N/A,NO
310029,15825,2487,18312,0.000501337,"$3,834,050",5349,$716.78,YES
310031,424,326,750,0.000020533,N/A,N/A,N/A,NO
310032,19392,2542,21934,0.000600499,"$4,592,401",6222,$738.13,YES
310034,3212,718,3930,0.000107594,N/A,N/A,N/A,NO
310038,38090,4457,42547,0.001164832,"$8,908,219",10228,$870.99,YES
310039,12965,3969,16934,0.000463611,"$3,545,533",5346,$663.25,YES
310040,7754,1897,9651,0.000264221,"$2,020,665",1713,"$1,179.38",YES
310041,10574,1929,12503,0.000342301,N/A,N/A,N/A,NO
310044,8148,1172,9320,0.000255159,"$1,951,362",2894,$674.28,YES
310045,6765,2239,9004,0.000246507,N/A,N/A,N/A,NO
310047,3480,868,4348,0.000119037,N/A,N/A,N/A,NO
310048,3802,1159,4961,0.000135820,N/A,N/A,N/A,NO
310050,7476,1128,8604,0.000235556,"$1,801,451",5794,$310.92,YES
310051,7210,1606,8816,0.000241360,N/A,N/A,N/A,NO
310052,4139,639,4778,0.000130810,N/A,N/A,N/A,NO
310054,5969,816,6785,0.000185757,"$1,420,600",4417,$321.60,YES
310057,12226,1502,13728,0.000375839,"$2,874,281",6556,$438.42,YES
310058,20977,568,21545,0.000589849,"$4,510,955",654,"$6,893.97",YES
310060,1026,548,1574,0.000043092,N/A,N/A,N/A,NO
310061,2414,709,3123,0.000085500,N/A,N/A,N/A,NO
310064,32375,5056,37431,0.001024768,"$7,837,064",10700,$732.44,YES
310069,837,198,1035,0.000028336,N/A,N/A,N/A,NO
310070,24854,1241,26095,0.000714417,"$5,463,604",4511,"$1,211.26",YES
310073,23931,3252,27183,0.000744203,"$5,691,403",9721,$585.48,YES
310074,30952,3927,34879,0.000954901,"$7,302,742",3223,"$2,265.59",YES
310075,23174,1397,24571,0.000672693,"$5,144,519",4281,"$1,201.62",YES
310076,25579,4372,29951,0.000819984,"$6,270,949",8081,$776.04,YES
310081,5707,1132,6839,0.000187235,N/A,N/A,N/A,NO
310083,8836,2906,11742,0.000321467,"$2,458,465",2754,$892.80,YES
310084,13868,1894,15762,0.000431525,"$3,300,147",4035,$817.95,YES
310086,18907,4331,23238,0.000636199,"$4,865,424",11302,$430.49,YES
310091,2455,652,3107,0.000085062,"$650,524",2123,$306.42,YES
310092,8614,2885,11499,0.000314814,"$2,407,587",3389,$710.34,YES
310096,11065,4617,15682,0.000429334,"$3,283,397",3500,$938.11,YES
310108,8053,2471,10524,0.000288121,N/A,N/A,N/A,NO
310110,4490,1197,5687,0.000155696,N/A,N/A,N/A,NO
310111,4262,702,4964,0.000135902,N/A,N/A,N/A,NO
310112,2126,1059,3185,0.000087197,N/A,N/A,N/A,NO
310113,2052,457,2509,0.000068690,N/A,N/A,N/A,NO
310115,1354,264,1618,0.000044297,N/A,N/A,N/A,NO
310118,3323,953,4276,0.000117066,"$895,282",950,$942.07,YES
310119,43908,4238,48146,0.001318118,"$10,080,502",2539,"$3,969.74",YES
310120,181,79,260,0.000007118,N/A,N/A,N/A,NO
310130,,,,,N/A,N/A,N/A,NO
320001,70211,3722,73933,0.002024103,"$15,479,619",3479,"$4,449.87",YES
320002,8959,2165,11124,0.000304548,N/A,3590,$648.71,SCH
320003,1805,677,2482,0.000067951,N/A,N/A,N/A,NO
320004,1926,389,2315,0.000063379,N/A,1316,$368.31,SCH
320005,10179,3131,13310,0.000364395,N/A,4028,$691.79,SCH
320006,5139,1315,6454,0.000176695,"$1,351,297",1913,$706.50,YES
320009,5347,2865,8212,0.000224824,"$1,719,376",3308,$519.71,YES
320011,2230,427,2657,0.000072742,N/A,633,$878.38,SCH
320013,2676,389,3065,0.000083912,N/A,N/A,N/A,NO
320014,1194,98,1292,0.000035372,N/A,N/A,N/A,NO
320016,1799,249,2048,0.000056069,N/A,942,$455.04,SCH
320017,16216,328,16544,0.000452934,"$3,463,877",523,"$6,627.32",YES
320018,15210,3331,18541,0.000507607,"$3,881,996",3087,"$1,257.39",YES
320021,48303,4514,52817,0.001445999,"$11,058,486",7514,"$1,471.78",YES
320022,6504,655,7159,0.000195996,"$1,498,906",1334,"$1,123.62",YES
320030,196,168,364,0.000009965,N/A,412,$184.98,SCH
320033,377,35,412,0.000011280,N/A,N/A,N/A,NO
320038,3089,997,4086,0.000111865,N/A,1028,$831.93,SCH
320057,126,1,127,0.000003477,"$26,590",30,$876.61,YES
320058,193,34,227,0.000006215,"$47,528",38,"$1,250.73",YES
320059,2392,860,3252,0.000089032,"$680,883",589,"$1,156.65",YES
320060,744,307,1051,0.000028774,"$220,052",129,"$1,701.43",YES
320061,4601,1182,5783,0.000158324,"$1,210,808",800,"$1,513.51",YES
320062,746,222,968,0.000026501,"$202,674",144,"$1,404.21",YES
320063,2650,474,3124,0.000085527,N/A,1369,$477.67,SCH
320065,3664,381,4045,0.000110742,N/A,901,$939.63,SCH
320067,59,50,109,0.000002984,N/A,106,$215.98,SCH
320070,106,55,161,0.000004408,"$33,709",92,$367.74,YES
320074,1119,226,1345,0.000036823,"$281,608",531,$530.00,YES
320083,472,0,472,0.000012922,N/A,N/A,N/A,NO
320084,328,85,413,0.000011307,"$86,471",353,$245.19,YES
320085,6787,1691,8478,0.000232107,"$1,775,069",3229,$549.73,YES
320086,1322,241,1563,0.000042791,"$327,251",654,$500.64,YES
320089,834,6,840,0.000022997,N/A,N/A,N/A,NO
330002,1254,772,2026,0.000055467,N/A,N/A,N/A,NO
330003,2500,696,3196,0.000087499,N/A,N/A,N/A,NO
330004,6053,1936,7989,0.000218719,"$1,672,686",4420,$378.44,YES
330005,79937,9042,88979,0.002436025,"$18,629,855",10440,"$1,784.47",YES
330006,15811,4241,20052,0.000548974,"$4,198,360",2144,"$1,958.19",YES
330008,683,252,935,0.000025598,N/A,568,$344.66,SCH
330009,81194,12939,94133,0.002577129,"$19,708,966",2705,"$7,285.23",YES
330011,6361,1527,7888,0.000215954,"$1,651,539",4122,$400.70,YES
330013,52079,5962,58041,0.001589019,"$12,152,254",7670,"$1,584.32",YES
330014,46553,6996,53549,0.001466039,"$11,211,748",3423,"$3,275.10",YES
330019,7054,16296,23350,0.000639265,"$4,888,874",4222,"$1,158.04",YES
330023,15425,2528,17953,0.000491509,"$3,758,884",7433,$505.68,YES
330024,90761,24590,115351,0.003158025,"$24,151,456",16497,"$1,463.96",YES
330027,43232,2162,45394,0.001242776,"$9,504,306",3260,"$2,915.73",YES
330028,32095,3801,35896,0.000982744,"$7,515,675",2855,"$2,632.15",YES
330029,0,196,196,0.000005366,N/A,N/A,N/A,NO
330030,2881,604,3485,0.000095411,"$729,667",1189,$613.68,YES
330033,1331,358,1689,0.000046241,"$353,632",773,$457.68,YES
330037,955,218,1173,0.000032114,N/A,N/A,N/A,NO
330043,20814,2526,23340,0.000638992,"$4,886,780",4689,"$1,042.11",YES
330044,14645,2778,17423,0.000476999,"$3,647,916",5529,$659.78,YES
330045,8814,1413,10227,0.000279990,"$2,141,264",7410,$288.98,YES
330046,71690,17942,89632,0.002453903,"$18,766,576",8391,"$2,236.51",YES
330047,5918,1317,7235,0.000198076,"$1,514,818",2037,$743.65,YES
330049,969,206,1175,0.000032169,N/A,N/A,N/A,NO
330053,726,268,994,0.000027213,"$208,117",655,$317.74,YES
330055,62169,18429,80598,0.002206574,"$16,875,095",9305,"$1,813.49",YES
330056,39758,9823,49581,0.001357405,"$10,380,953",3052,"$3,401.36",YES
330057,18238,3033,21271,0.000582347,"$4,453,586",7139,$623.81,YES
330058,2836,572,3408,0.000093303,"$713,545",1359,$525.18,YES
330059,227366,42898,270264,0.007399160,"$56,586,150",16114,"$3,511.54",YES
330061,6620,1738,8358,0.000228821,"$1,749,945",4005,$436.90,YES
330065,12172,2706,14878,0.000407323,"$3,115,061",1405,"$2,217.65",YES
330067,15287,1972,17259,0.000472509,"$3,613,579",2386,"$1,514.49",YES
330073,6489,834,7323,0.000200486,"$1,533,243",1182,"$1,297.16",YES
330074,1448,412,1860,0.000050922,N/A,N/A,N/A,NO
330078,22039,3591,25630,0.000701686,"$5,366,246",3400,"$1,578.31",YES
330079,1608,471,2079,0.000056918,N/A,1072,$406.05,SCH
330080,56996,8510,65506,0.001793392,"$13,715,228",2041,"$6,718.76",YES
330084,1432,448,1880,0.000051470,N/A,1062,$370.64,SCH
330085,1899,388,2287,0.000062612,N/A,1575,$304.09,SCH
330086,3560,1055,4615,0.000126347,"$966,259",976,$990.36,YES
330088,6416,191,6607,0.000180883,"$1,383,331",975,"$1,419.29",YES
330090,12080,1859,13939,0.000381615,"$2,918,459",4000,$729.68,YES
330094,4187,1122,5309,0.000145347,"$1,111,565",2494,$445.64,YES
330096,1351,236,1587,0.000043448,"$332,276",682,$487.45,YES
330100,567,108,675,0.000018480,"$141,327",65,"$2,185.47",YES
330101,201630,40831,242461,0.006637983,"$50,764,936",27811,"$1,825.35",YES
330102,2448,771,3219,0.000088128,N/A,N/A,N/A,NO
330103,4209,960,5169,0.000141514,"$1,082,252",2038,$530.95,YES
330104,17316,2272,19588,0.000536271,"$4,101,210",5355,$765.91,YES
330106,44439,9033,53472,0.001463931,"$11,195,626",16003,$699.58,YES
330107,4435,779,5214,0.000142746,"$1,091,674",3352,$325.68,YES
330108,5354,1165,6519,0.000178474,"$1,364,907",1493,$914.41,YES
330111,265,100,365,0.000009993,N/A,N/A,N/A,NO
330115,2456,378,2834,0.000077588,"$593,365",953,$622.85,YES
330119,17063,6328,23391,0.000640388,"$4,897,458",7934,$617.27,YES
330125,25345,5761,31106,0.000851605,"$6,512,776",6282,"$1,036.74",YES
330126,12532,2687,15219,0.000416659,"$3,186,457",7457,$427.31,YES
330127,58988,6887,65875,0.001803495,"$13,792,487",2313,"$5,963.03",YES
330128,65060,6795,71855,0.001967212,"$15,044,541",2565,"$5,866.08",YES
330132,715,206,921,0.000025215,N/A,N/A,N/A,NO
330135,7007,608,7615,0.000208480,"$1,594,380",1612,$988.87,YES
330136,6132,1848,7980,0.000218473,N/A,3653,$457.34,SCH
330140,22934,4722,27656,0.000757153,"$5,790,437",10379,$557.90,YES
330141,12226,3283,15509,0.000424598,"$3,247,175",6612,$491.08,YES
330144,238,82,320,0.000008761,"$67,000",332,$202.01,YES
330151,5092,608,5700,0.000156052,"$1,193,430",683,"$1,747.33",YES
330152,9153,0,9153,0.000250587,N/A,N/A,N/A,NO
330153,22778,4340,27118,0.000742424,"$5,677,794",5539,"$1,025.06",YES
330154,7915,4660,12575,0.000344272,N/A,N/A,N/A,NO
330157,5233,1186,6419,0.000175736,N/A,2456,$547.29,SCH
330158,19388,1936,21324,0.000583798,"$4,464,683",5005,$891.99,YES
330159,3631,0,3631,0.000099408,N/A,N/A,N/A,NO
330160,45500,8121,53621,0.001468010,"$11,226,823",9268,"$1,211.40",YES
330162,3870,577,4447,0.000121748,N/A,N/A,N/A,NO
330163,9355,816,10171,0.000278457,"$2,129,539",1948,"$1,093.19",YES
330164,16767,2372,19139,0.000523979,"$4,007,202",3280,"$1,221.58",YES
330166,23,23,46,0.000001259,"$9,631",49,$196.55,YES
330167,26178,3163,29341,0.000803284,"$6,143,231",9304,$660.30,YES
330169,87785,32035,119820,0.003280375,"$25,087,146",14595,"$1,718.93",YES
330175,3251,742,3993,0.000109318,N/A,1881,$444.38,SCH
330177,640,222,862,0.000023599,N/A,N/A,N/A,NO
330180,3372,1557,4929,0.000134944,"$1,032,003",1912,$539.75,YES
330181,3432,543,3975,0.000108826,N/A,N/A,N/A,NO
330182,2810,2562,5372,0.000147072,N/A,N/A,N/A,NO
330184,11960,2033,13993,0.000383094,"$2,929,765",3173,$923.34,YES
330185,3415,1023,4438,0.000121501,N/A,N/A,N/A,NO
330188,7439,792,8231,0.000225344,"$1,723,354",1630,"$1,057.06",YES
330191,10109,2785,12894,0.000353006,"$2,699,663",4894,$551.63,YES
330193,33571,7427,40998,0.001122424,"$8,583,899",3372,"$2,545.39",YES
330194,83783,25901,109684,0.003002877,"$22,964,935",10368,"$2,214.91",YES
330195,70976,8768,79744,0.002183194,"$16,696,289",8680,"$1,923.46",YES
330196,21450,17327,38777,0.001061618,"$8,118,881",3770,"$2,153.36",YES
330197,7924,623,8547,0.000233996,N/A,1448,"$1,235.57",SCH
330198,14927,3748,18675,0.000511275,"$3,910,052",8068,$484.64,YES
330199,31054,3581,34635,0.000948221,"$7,251,655",948,"$7,649.43",YES
330201,13395,7139,20534,0.000562170,"$4,299,278",2927,"$1,469.00",YES
330202,78317,6627,84944,0.002325557,"$17,785,032",2115,"$8,407.67",YES
330203,44859,2918,47777,0.001308016,"$10,003,243",6124,"$1,633.54",YES
330204,50708,7703,58411,0.001599149,"$12,229,722",2106,"$5,807.09",YES
330205,1084,233,1317,0.000036056,N/A,N/A,N/A,NO
330208,48529,5525,54054,0.001479865,"$11,317,481",5231,"$2,163.40",YES
330211,2232,357,2589,0.000070880,N/A,1050,$516.09,SCH
330214,18904,6492,25396,0.000695280,"$5,317,252",9350,$568.71,YES
330215,4245,797,5042,0.000138037,"$1,055,662",1555,$678.88,YES
330218,3906,781,4687,0.000128318,N/A,1756,$558.74,SCH
330219,26542,5625,32167,0.000880653,"$6,734,921",2777,"$2,425.54",YES
330221,36422,10937,47359,0.001296572,"$9,915,725",3297,"$3,007.20",YES
330222,6255,1590,7845,0.000214777,"$1,642,536",3001,$547.33,YES
330223,1794,529,2323,0.000063598,N/A,1020,$476.99,SCH
330224,4095,421,4516,0.000123637,"$945,531",825,"$1,146.10",YES
330226,17724,2585,20309,0.000556010,"$4,252,169",2775,"$1,532.31",YES
330229,2663,586,3249,0.000088950,"$680,255",678,"$1,003.82",YES
330231,37168,3727,40895,0.001119604,"$8,562,334",1438,"$5,955.72",YES
330232,7371,1369,8740,0.000239280,"$1,829,925",1979,$924.83,YES
330233,37812,7986,45798,0.001253836,"$9,588,893",2470,"$3,882.14",YES
330234,76776,4908,81684,0.002236306,"$17,102,474",4051,"$4,221.44",YES
330235,1923,954,2877,0.000078765,N/A,N/A,N/A,NO
330236,52854,17658,70512,0.001930444,"$14,763,352",8502,"$1,736.46",YES
330238,1311,302,1613,0.000044160,"$337,720",664,$508.87,YES
330239,8146,1449,9595,0.000262687,"$2,008,940",2044,$982.85,YES
330240,32153,3966,36119,0.000988849,"$7,562,366",1117,"$6,772.27",YES
330241,43207,7940,51147,0.001400278,"$10,708,832",6764,"$1,583.21",YES
330245,8129,2420,10549,0.000288806,"$2,208,682",4423,$499.33,YES
330246,12843,888,13731,0.000375921,"$2,874,909",2219,"$1,295.78",YES
330249,392,165,557,0.000015249,N/A,N/A,N/A,NO
330250,9642,2858,12500,0.000342219,N/A,4261,$614.22,SCH
330259,10103,1834,11937,0.000326806,"$2,499,293",3388,$737.62,YES
330261,13968,1876,15844,0.000433770,"$3,317,316",2955,"$1,122.74",YES
330263,973,135,1108,0.000030334,N/A,467,$496.76,SCH
330264,10308,2020,12328,0.000337510,"$2,581,158",4530,$569.83,YES
330265,5354,569,5923,0.000162157,"$1,240,120",785,"$1,579.10",YES
330267,3924,1058,4982,0.000136395,"$1,043,099",3392,$307.52,YES
330268,112,65,177,0.000004846,N/A,306,$121.24,SCH
330270,1122,747,1869,0.000051169,N/A,N/A,N/A,NO
330273,1272,536,1808,0.000049499,N/A,N/A,N/A,NO
330276,2574,753,3327,0.000091085,"$696,586",1192,$584.38,YES
330277,2523,365,2888,0.000079066,"$604,671",1802,$335.56,YES
330279,14419,2192,16611,0.000454768,"$3,477,905",3792,$917.17,YES
330285,73045,8269,81314,0.002226176,"$17,025,006",6441,"$2,643.09",YES
330286,24432,3044,27476,0.000752225,"$5,752,749",7263,$792.06,YES
330304,9290,1918,11208,0.000306847,"$2,346,659",5889,$398.48,YES
330306,43514,10116,53630,0.001468257,"$11,228,707",5582,"$2,011.47",YES
330307,3324,725,4049,0.000110852,"$847,754",1919,$441.85,YES
330314,0,0,0,,N/A,N/A,N/A,NO
330331,4163,975,5138,0.000140666,N/A,N/A,N/A,NO
330332,1424,637,2061,0.000056425,N/A,N/A,N/A,NO
